first_name,last_name,points_last_season,current_points,price,minutes,points_per_90,points_per_match,points_per_match2,value_added_per_mil
Hakim,Ziyech,0,0,80,0,0,0,0,0
Timo,Werner,0,0,95,0,0,0,0,0
Nathan,Ferguson,0,0,40,0,0,0,0,0
Eberechi,Eze,0,0,60,0,0,0,0,0
Jonjoe,Kenny,0,0,45,0,0,0,0,0
João,Virgínia,0,0,45,0,0,0,0,0
Fabricio,Agosto Ramírez,0,0,40,0,0,0,0,0
Kevin,McDonald,0,0,50,0,0,0,0,0
Maxime,Le Marchand,0,0,45,0,0,0,0,0
Stefan,Johansen,0,0,50,0,0,0,0,0
Tom,Cairney,0,0,55,0,0,0,0,0
Tim,Ream,0,0,45,0,0,0,0,0
Michael,Hector,0,0,45,0,0,0,0,0
Cyrus,Christie,0,0,45,0,0,0,0,0
Neeskens,Kebano,0,0,50,0,0,0,0,0
Bobby,Decordova-Reid,0,0,55,0,0,0,0,0
Joe,Bryan,0,0,50,0,0,0,0,0
Marcus,Bettinelli,0,0,45,0,0,0,0,0
Aleksandar,Mitrović,0,0,60,0,0,0,0,0
Alfie,Mawson,0,0,45,0,0,0,0,0
Marek,Rodák,0,0,45,0,0,0,0,0
Ivan Ricardo,Neves Abreu Cavaleiro,0,0,55,0,0,0,0,0
Josh,Onomah,0,0,50,0,0,0,0,0
Jean Michaël,Seri,0,0,50,0,0,0,0,0
Aboubakar,Kamara,0,0,50,0,0,0,0,0
André-Frank,Zambo Anguissa,0,0,45,0,0,0,0,0
Zeze Steven,Sessegnon,0,0,45,0,0,0,0,0
Antonee,Robinson,0,0,45,0,0,0,0,0
Adrien,Silva,0,0,45,0,0,0,0,0
Pablo,Hernández Domínguez,0,0,60,0,0,0,0,0
Francisco,Casilla Cortés,0,0,45,0,0,0,0,0
Liam,Cooper,0,0,45,0,0,0,0,0
Barry,Douglas,0,0,40,0,0,0,0,0
Luke,Ayling,0,0,45,0,0,0,0,0
Mateusz,Klich,0,0,55,0,0,0,0,0
Adam,Forshaw,0,0,50,0,0,0,0,0
Stuart,Dallas,0,0,45,0,0,0,0,0
Ezgjan,Alioski,0,0,45,0,0,0,0,0
Patrick,Bamford,0,0,55,0,0,0,0,0
Jack,Harrison,0,0,55,0,0,0,0,0
Kalvin,Phillips,0,0,50,0,0,0,0,0
Hélder Wander,Sousa de Azevedo e Costa,0,0,55,0,0,0,0,0
Tyler,Roberts,0,0,50,0,0,0,0,0
Jay-Roy,Grot,0,0,50,0,0,0,0,0
Kamil,Miazek,0,0,40,0,0,0,0,0
Ian Carlo,Poveda-Ocampo,0,0,45,0,0,0,0,0
Jamie,Shackleton,0,0,50,0,0,0,0,0
Pascal,Struijk,0,0,40,0,0,0,0,0
Jordan,Stevens,0,0,45,0,0,0,0,0
Illan,Meslier,0,0,45,0,0,0,0,0
Leif,Davis,0,0,40,0,0,0,0,0
Oliver,Casey,0,0,40,0,0,0,0,0
Konstantinos,Tsimikas,0,0,50,0,0,0,0,0
Ferran,Torres,0,0,70,0,0,0,0,0
Teden,Mengi,0,0,40,0,0,0,0,0
Mark,Gillespie,0,0,45,0,0,0,0,0
Wes,Foderingham,0,0,45,0,0,0,0,0
Harrison,Reed,0,0,45,0,0,0,0,0
Josh,Sims,0,0,45,0,0,0,0,0
Mohammed,Salisu,0,0,45,0,0,0,0,0
Kieran,Gibbs,0,0,45,0,0,0,0,0
Hal,Robson-Kanu,0,0,55,0,0,0,0,0
Jake,Livermore,0,0,50,0,0,0,0,0
Kamil,Grosicki,0,0,55,0,0,0,0,0
Matt,Phillips,0,0,55,0,0,0,0,0
Kyle,Bartley,0,0,45,0,0,0,0,0
Romaine,Sawyers,0,0,50,0,0,0,0,0
Ahmed El-Sayed,Hegazy,0,0,45,0,0,0,0,0
Kenneth,Zohore,0,0,50,0,0,0,0,0
Sam,Johnstone,0,0,45,0,0,0,0,0
Conor,Townsend,0,0,45,0,0,0,0,0
Oluwasemilogo Adesewo Ibidapo,Ajayi,0,0,50,0,0,0,0,0
Jonathan,Leko,0,0,45,0,0,0,0,0
Kyle,Edwards,0,0,50,0,0,0,0,0
Darnell,Furlong,0,0,45,0,0,0,0,0
Sam,Field,0,0,50,0,0,0,0,0
Oliver,Burke,0,0,45,0,0,0,0,0
Dara,O'Shea,0,0,45,0,0,0,0,0
Rekeem,Harper,0,0,45,0,0,0,0,0
Matheus,Pereira,0,0,60,0,0,0,0,0
Jordan,Hugill,0,0,55,0,0,0,0,0
Léo,Bonatini,0,0,50,0,0,0,0,0
Matija,Sarkic,0,0,45,0,0,0,0,0
Anthony,Knockaert,0,0,55,0,0,0,-2,-0.036363636
Charlie,Austin,0,0,55,0,0,0,-2,-0.036363636
Grady,Diangana,0,0,55,0,0,0,-2,-0.036363636
Sergio,Romero,0,0,50,0,0,0,-2,-0.04
Chris,Smalling,0,0,50,0,0,0,-2,-0.04
Karl,Darlow,0,0,50,0,0,0,-2,-0.04
Rolando,Aarons,0,0,50,0,0,0,-2,-0.04
Leonardo,Campana,0,0,50,0,0,0,-2,-0.04
Matthew,Clarke,0,0,45,0,0,0,-2,-0.044444444
Jonas,Lössl,0,0,45,0,0,0,-2,-0.044444444
Danny,Ward,0,0,45,0,0,0,-2,-0.044444444
Filip,Benkovic,0,0,45,0,0,0,-2,-0.044444444
Rhian,Brewster,0,0,45,0,0,0,-2,-0.044444444
Joe,Hart,0,0,45,0,0,0,-2,-0.044444444
John,Ruddy,0,0,45,0,0,0,-2,-0.044444444
David,Button,0,0,40,0,0,0,-2,-0.05
Ben,Gibson,0,0,40,0,0,0,-2,-0.05
Bailey,Peacock-Farrell,0,0,40,0,0,0,-2,-0.05
Daniel,Amartey,0,0,40,0,0,0,-2,-0.05
Oskar,Buur,0,0,40,0,0,0,-2,-0.05
